Codigo;Rubro;Detalle Articulo;Minorista;Mayorista;AMODIL;EL TANO;VIVANCO;GLORIAS;POMPEYA;BRAZZI;JUANCHOS;GUERE GUERE/ABUELO;TUTTO SAN FER;RINCON / LINIERS;JOAQUIN CHINO;VILLA TERRA;;;Costeo Mercaderia sin MO;Gastos Generales Sacado del informe mensual;Costo Total ;;;;;;;;;
0601;SANDWICH ;SANDWICH MIGA X 4 J Y Q; $ 7.900,00 ; $ 4.290,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 3.960,00 ; $ -   ; $ -   ; $ 3.960,00 ; $ 4.620,00 ; $ 3.950,00 ;;; $ 1.752,13 ; $ 438,03 ; $ 2.190,17 ;;;0601;SANDWICH ;SANDWICH MIGA X 4 J Y Q;;;;
0602;SANDWICH ;SANDWICH MIGA X UNIDAD JAMON Y QUESO; $ 2.400,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 1.430,00 ; $ -   ; $ 1.200,00 ;;;  ;;;;;0602;SANDWICH ;SANDWICH MIGA X UNIDAD JAMON Y QUESO;;;;
0604;SANDWICH ;SANDWICH MIGA J Y Q X 12 UN; $ 22.100,00 ; $ 13.970,00 ; $ -   ; $ -   ; $ -   ; $ 15.290,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 14.740,00 ; $ 15.400,00 ; $ 11.050,00 ;;; $ 5.256,40 ; $ 1.314,10 ; $ 6.570,50 ;;;0604;SANDWICH ;SANDWICH MIGA J Y Q X 12 UN;;;;
0606;SANDWICH ;SANDWICH MIGA SURTIDO X 1 UN; $ 2.600,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 1.540,00 ; $ -   ; $ 1.300,00 ;;; $ -   ; $ -   ; $ -   ;;;0606;SANDWICH ;SANDWICH MIGA SURTIDO X 1 UN;;;;
0607;SANDWICH ;SANDWICH MIGA SURTIDO X 12 UN; $ 30.100,00 ; $ 17.490,00 ; $ -   ; $ -   ; $ -   ; $ 19.030,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 18.150,00 ; $ -   ; $ 15.050,00 ;;; $ -   ; $ -   ; $ -   ;;;0607;SANDWICH ;SANDWICH MIGA SURTIDO X 12 UN;;;;
0627;SANDWICH ;SANDWICH MIGA NEGRO JAMON CRUDO; $ 3.500,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 2.640,00 ; $ -   ; $ 1.750,00 ;;;  ;;;;;0627;SANDWICH ;SANDWICH MIGA NEGRO JAMON CRUDO;;;;
0628;SANDWICH ;SANDWICH MIGA NEGRO POLLO; $ 3.500,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 2.640,00 ; $ -   ; $ 1.750,00 ;;;  ;;;;;0628;SANDWICH ;SANDWICH MIGA NEGRO POLLO;;;;
0605;SANDWICH ;SANDWICH MIGA PAQUETE X 2 J Y Q; $ 4.400,00 ; $ 3.300,00 ; $ -   ; $ 2.200,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 2.200,00 ;;; $ -   ; $ -   ; $ -   ;;;0605;SANDWICH ;SANDWICH MIGA PAQUETE X 2 J Y Q;;;;
0603;SANDWICH ;PBT J Y Q; $ 3.500,00 ; $ 2.310,00 ; $ -   ; $ -   ; $ 1.320,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 1.980,00 ; $ -   ; $ 1.750,00 ;;; $ 882,10 ; $ 220,53 ; $ 1.102,63 ;;;0603;SANDWICH ;PBT J Y Q;;;;
0608;SANDWICH ;CIABATA; $ 4.500,00 ; $ 715,00 ; $ -   ; $ -   ; $ 660,00 ; $ -   ; $ -   ; $ 660,00 ; $ -   ; $ 660,00 ; $ -   ; $ 660,00 ; $ 660,00 ; $ 2.250,00 ;;; $ 91,28 ; $ 22,82 ; $ 114,10 ;;;0608;SANDWICH ;CIABATA;;;;
0609;SANDWICH ;BEAGLE; $ 3.600,00 ; $ 1.540,00 ; $ -   ; $ -   ; $ -   ; $ 704,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 1.800,00 ;;; $ -   ; $ -   ; $ -   ;;;0609;SANDWICH ;BEAGLE;;;;
0610;SANDWICH ;SANDWICH MILANESA DE POLLO; $ 6.800,00 ; $ 5.500,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 2.640,00 ; $ -   ; $ 3.400,00 ;;; $ -   ; $ -   ; $ -   ;;;0610;SANDWICH ;SANDWICH MILANESA DE POLLO;;;;
0623;SANDWICH ;SANDWICH MILANESA DE CARNE; $ 7.500,00 ; $ 5.940,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 2.640,00 ; $ -   ; $ 3.750,00 ;;; $ -   ; $ -   ; $ -   ;;;0623;SANDWICH ;SANDWICH MILANESA DE CARNE;;;;
0622;SANDWICH ;SANDWICH DE MILANESA DE BERENJENA; $ 6.800,00 ; $ 5.390,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 2.970,00 ; $ -   ; $ 3.400,00 ;;; $ -   ; $ -   ; $ -   ;;;0622;SANDWICH ;SANDWICH DE MILANESA DE BERENJENA;;;;
0624;SANDWICH ;SANDWICH PAN ARABE CON JAMON Y QUESO; $ 3.500,00 ; $ 2.420,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 1.750,00 ;;; $ -   ; $ -   ; $ -   ;;;0624;SANDWICH ;SANDWICH PAN ARABE CON JAMON Y QUESO;;;;
0626;SANDWICH ;SANDWICH VEGETARIANO; $ 4.400,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 2.640,00 ; $ -   ; $ 2.200,00 ;;;  ;;;;;0626;SANDWICH ;SANDWICH VEGETARIANO;;;;
0629;SANDWICH ;SANDWICH MATAMBRE; $ 7.700,00 ; $ 6.600,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 2.640,00 ; $ -   ; $ 3.850,00 ;;;  ;;;;;0629;SANDWICH ;SANDWICH MATAMBRE;;;;
0611;SANDWICH ;BAGUETIN J Y QUESO; $ 4.000,00 ; $ 2.750,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 2.200,00 ; $ -   ; $ 2.000,00 ;;; $ 637,11 ; $ 159,28 ; $ 796,39 ;;;0611;SANDWICH ;BAGUETIN J Y QUESO;;;;
0612;SANDWICH ;BAGUETIN SALAME Y QUESO; $ 4.000,00 ; $ 3.300,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 2.200,00 ; $ -   ; $ 2.000,00 ;;; $ 637,11 ; $ 159,28 ; $ 796,39 ;;;0612;SANDWICH ;BAGUETIN SALAME Y QUESO;;;;
0613;SANDWICH ;PAN DE MOLDE NEGRO JAMON Y QUESO; $ 4.400,00 ; $ 3.300,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 2.200,00 ; $ -   ; $ 2.200,00 ;;; $ 1.134,90 ; $ 283,73 ; $ 1.418,63 ;;;0613;SANDWICH ;PAN DE MOLDE NEGRO JAMON Y QUESO;;;;
0614;SANDWICH ;PAN DE MOLDE NEGRO SALAME Y QUESO; $ 4.400,00 ; $ 3.300,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 2.530,00 ; $ -   ; $ 2.200,00 ;;; $ 602,57 ; $ 150,64 ; $ 753,22 ;;;0614;SANDWICH ;PAN DE MOLDE NEGRO SALAME Y QUESO;;;;
0615;SANDWICH ;PAN DE MOLDE NEGRO CRUDO Y QUESO; $ 4.400,00 ; $ 3.520,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 1.650,00 ; $ -   ; $ 2.200,00 ;;; $ 607,44 ; $ 151,86 ; $ 759,30 ;;;0615;SANDWICH ;PAN DE MOLDE NEGRO CRUDO Y QUESO;;;;
0616;SANDWICH ;PAN DE MOLDE NEGRO POLLO QUESO BRIE Y RUCULA; $ 9.600,00 ; $ 7.480,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 3.300,00 ; $ -   ; $ 4.800,00 ;;; $ 571,54 ; $ 142,88 ; $ 714,42 ;;;0616;SANDWICH ;PAN DE MOLDE NEGRO POLLO QUESO BRIE Y RUCULA;;;;
0620;SANDWICH ;ESPECIALES (POLLO Y RUCULA/CRUDO Y QUESOS/OTROS); $ 3.600,00 ; $ 2.530,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 2.640,00 ; $ -   ; $ 1.800,00 ;;; $ -   ; $ -   ; $ -   ;;;0620;SANDWICH ;ESPECIALES (POLLO Y RUCULA/CRUDO Y QUESOS/OTROS);;;;
0625;SANDWICH ;FOSFORITOS CON JAMON Y QUESO X 12; $ 22.700,00 ; $ 18.260,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 11.350,00 ;;; $ -   ; $ -   ; $ -   ;;;0625;SANDWICH ;FOSFORITOS CON JAMON Y QUESO X 12;;;;
0617;SANDWICH ;BANDEJAS X 5 SACRAMENTOS; $ 7.900,00 ; $ 5.940,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 3.950,00 ;;; $ -   ; $ -   ; $ -   ;;;0617;SANDWICH ;BANDEJAS X 5 SACRAMENTOS;;;;
0619;SANDWICH ;BANDEJA X 4 SACRAMENTOS CRUDO, RUCULA Y QUESO; $ 9.600,00 ; $ 7.480,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 4.800,00 ;;; $ -   ; $ -   ; $ -   ;;;0619;SANDWICH ;BANDEJA X 4 SACRAMENTOS CRUDO, RUCULA Y QUESO;;;;
0618;SANDWICH ;DOCENA MEDIALUNAS JAMON Y QUESO; $ 22.800,00 ; $ 18.260,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 11.400,00 ;;; $ -   ; $ -   ; $ -   ;;;0618;SANDWICH ;DOCENA MEDIALUNAS JAMON Y QUESO;;;;
0621;SANDWICH ;CROISSANT CON JAMON Y QUESO; $ 4.000,00 ; $ 2.750,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 2.000,00 ;;; $ -   ; $ -   ; $ -   ;;;0621;SANDWICH ;CROISSANT CON JAMON Y QUESO;;;;
0629;SANDWICH ;CROISSANT CAFETERIA; $ 12.300,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 6.150,00 ;;;  ;;;;;0629;SANDWICH ;CROISSANT CAFETERIA;;;;
0630;SANDWICH ;SANDWICH MILA BERENJENA; $ 5.700,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 2.850,00 ;;;  ;;;;;0630;SANDWICH ;SANDWICH MILA BERENJENA;;;;
;;COMIDA; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ;;;  ;  ;  ;;;;;COMIDA;;;;
0706;COMIDA;ENSALADAS DE FRUTAS; $ 4.000,00 ; $ 3.520,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 1.760,00 ; $ -   ; $ 2.000,00 ;;; $ 374,74 ; $ 93,68 ; $ 468,42 ;;;0706;COMIDA;ENSALADAS DE FRUTAS;;;;
0701;COMIDA;ENSALADAS DE VERDURA; $ 8.700,00 ; $ 7.370,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 3.300,00 ; $ -   ; $ 4.350,00 ;;; $ -   ; $ -   ; $ -   ;;;0701;COMIDA;ENSALADAS DE VERDURA;;;;
0702;COMIDA;ENSALADA CEASAR; $ 10.300,00 ; $ 7.920,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 3.850,00 ; $ -   ; $ 5.150,00 ;;; $ 1.440,48 ; $ 360,12 ; $ 1.800,59 ;;;0702;COMIDA;ENSALADA CEASAR;;;;
0704;COMIDA;EMPANADA X 12; $ 22.200,00 ; $ 16.610,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 11.100,00 ;;; $ 5.585,31 ; $ 1.396,33 ; $ 6.981,63 ;;;0704;COMIDA;EMPANADA X 12;;;;
0705;COMIDA;EMPANADA X UNIDAD; $ 2.200,00 ; $ 1.540,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 1.210,00 ; $ -   ; $ 1.100,00 ;;; $ 465,44 ; $ 116,36 ; $ 581,80 ;;;0705;COMIDA;EMPANADA X UNIDAD;;;;
0707;COMIDA;EMPANADA X UNIDAD CARNE; $ 2.200,00 ; $ 1.980,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 935,00 ; $ -   ; $ 1.100,00 ;;; $ 811,83 ; $ 202,96 ; $ 1.014,79 ;;;0707;COMIDA;EMPANADA X UNIDAD CARNE;;;;
0708;COMIDA;EMPANADA X UNIDAD POLLO; $ 2.200,00 ; $ 1.980,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 935,00 ; $ -   ; $ 1.100,00 ;;; $ 664,83 ; $ 166,21 ; $ 831,04 ;;;0708;COMIDA;EMPANADA X UNIDAD POLLO;;;;
0709;COMIDA;EMPANADA X UNIDAD VERDURA; $ 2.200,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 935,00 ; $ -   ; $ 1.100,00 ;;; $ -   ; $ -   ; $ -   ;;;0709;COMIDA;EMPANADA X UNIDAD VERDURA;;;;
0716;COMIDA;EMPANADA X UNIDAD J Y Q; $ 2.200,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 1.210,00 ; $ -   ; $ 1.100,00 ;;; $ 465,44 ; $ 116,36 ; $ 581,80 ;;;0716;COMIDA;EMPANADA X UNIDAD J Y Q;;;;
0703;COMIDA;TARTA INDIVIDUAL JAMON Y QUESO; $ 8.500,00 ; $ 4.180,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 3.850,00 ; $ -   ; $ 3.740,00 ; $ -   ; $ 2.970,00 ; $ 4.070,00 ; $ 4.250,00 ;;; $ -   ; $ -   ; $ -   ;;;0703;COMIDA;TARTA INDIVIDUAL JAMON Y QUESO;;;;
0710;COMIDA;TARTA INDIVIDUAL VERDURA; $ 8.500,00 ; $ 4.070,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 3.740,00 ; $ -   ; $ 3.960,00 ; $ 4.070,00 ; $ 4.250,00 ;;; $ -   ; $ -   ; $ -   ;;;0710;COMIDA;TARTA INDIVIDUAL VERDURA;;;;
0711;COMIDA;TARTA INDIVIDUAL BROCOLI; $ 8.500,00 ; $ 4.070,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 3.740,00 ; $ -   ; $ 3.960,00 ; $ 4.070,00 ; $ 4.250,00 ;;; $ 1.146,65 ; $ 286,66 ; $ 1.433,31 ;;;0711;COMIDA;TARTA INDIVIDUAL BROCOLI;;;;
0712;COMIDA;TARTA INDIVIDUAL TRICOLOR; $ 8.500,00 ; $ 4.180,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 3.740,00 ; $ -   ; $ 3.960,00 ; $ 4.070,00 ; $ 4.250,00 ;;; $ -   ; $ -   ; $ -   ;;;0712;COMIDA;TARTA INDIVIDUAL TRICOLOR;;;;
0713;COMIDA;TARTA INDIVIDUAL ZAPALLITO; $ 8.500,00 ; $ 4.070,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 3.740,00 ; $ -   ; $ 3.960,00 ; $ 4.070,00 ; $ 4.250,00 ;;; $ -   ; $ -   ; $ -   ;;;0713;COMIDA;TARTA INDIVIDUAL ZAPALLITO;;;;
0714;COMIDA;TARTA INDIVIDUAL POLLO; $ 8.500,00 ; $ 4.290,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 3.740,00 ; $ -   ; $ 3.960,00 ; $ 4.070,00 ; $ 4.250,00 ;;; $ -   ; $ -   ; $ -   ;;;0714;COMIDA;TARTA INDIVIDUAL POLLO;;;;
0715;COMIDA;TARTA INDIVIDUAL CALABAZA; $ 8.500,00 ; $ 4.070,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 3.740,00 ; $ -   ; $ 3.960,00 ; $ 4.070,00 ; $ 4.250,00 ;;; $ -   ; $ -   ; $ -   ;;;0715;COMIDA;TARTA INDIVIDUAL CALABAZA;;;;
0717;COMIDA;WRAPS DE POLLO Y VERDURA X2 ; $ 10.700,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 5.350,00 ;;;  ;;;;;0717;COMIDA;WRAPS DE POLLO Y VERDURA X2 ;;;;
0718;COMIDA;ROLLS VERDURA X; $ 12.100,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 6.050,00 ;;;  ;;;;;0718;COMIDA;ROLLS VERDURA X;;;;
0719;COMIDA;ROLLS X 1; $ 6.600,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 3.300,00 ;;;  ;;;;;0719;COMIDA;ROLLS X 1;;;;
0720;COMIDA;TERRINA X KILO; $ 13.200,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 6.600,00 ;;;  ;;;;;0720;COMIDA;TERRINA X KILO;;;;
0721;COMIDA;SANDWICH MATAMBRE DE POLLO; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ;;;  ;;;;;0721;COMIDA;SANDWICH MATAMBRE DE POLLO;;;;
0722;COMIDA;BUDIN TRICOLOR; $ 13.200,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 6.600,00 ;;;  ;;;;;0722;COMIDA;BUDIN TRICOLOR;;;;
0723;COMIDA;LASANA; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ;;;  ;;;;;0723;COMIDA;LASANA;;;;
0724;COMIDA;CANELONES ACELGA; $ 11.900,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 6.820,00 ; $ -   ; $ 5.950,00 ;;;  ;;;;;0724;COMIDA;CANELONES ACELGA;;;;
0725;COMIDA;CANELONES CALABAZA; $ 11.900,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 6.820,00 ; $ -   ; $ 5.950,00 ;;;  ;;;;;0725;COMIDA;CANELONES CALABAZA;;;;
0726;COMIDA;SUPREMA C/PAPAS; $ 13.400,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 7.590,00 ; $ -   ; $ 6.700,00 ;;;  ;;;;;0726;COMIDA;SUPREMA C/PAPAS;;;;
0727;COMIDA;TORTILLA DE PAPAS; $ 6.700,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 3.850,00 ; $ -   ; $ 3.350,00 ;;;  ;;;;;0727;COMIDA;TORTILLA DE PAPAS;;;;
;;TORTAS; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ;;;  ;  ;  ;;;;;TORTAS;;;;
0804;TORTAS;TORTA GRANDE; $ 24.000,00 ; $ 20.790,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 18.711,00 ; $ -   ; $ -   ; $ 14.080,00 ; $ -   ; $ 12.000,00 ;;; $ 7.960,31 ; $ 1.990,08 ; $ 9.950,39 ;;;0804;TORTAS;TORTA GRANDE;;;;
0805;TORTAS;RICOTA; $ 15.800,00 ; $ 7.590,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 6.831,00 ; $ 7.260,00 ; $ -   ; $ 7.370,00 ; $ 7.150,00 ; $ 7.900,00 ;;; $ 3.439,41 ; $ 859,85 ; $ 4.299,26 ;;;0805;TORTAS;RICOTA;;;;
0806;TORTAS;PASTA FROLA BATATA; $ 10.600,00 ; $ 5.940,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 5.346,00 ; $ 5.320,00 ; $ -   ; $ 4.290,00 ; $ 5.170,00 ; $ 5.300,00 ;;; $ 1.940,45 ; $ 485,11 ; $ 2.425,56 ;;;0806;TORTAS;PASTA FROLA BATATA;;;;
0807;TORTAS;BROWNIE; $ 22.700,00 ; $ 17.050,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 16.940,00 ; $ 15.345,00 ; $ 14.160,00 ; $ -   ; $ 13.090,00 ; $ 14.080,00 ; $ 11.350,00 ;;; $ -   ; $ -   ; $ -   ;;;0807;TORTAS;BROWNIE;;;;
0808;TORTAS;FRUTILLA; $ 20.000,00 ; $ 10.560,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 9.504,00 ; $ 8.950,00 ; $ -   ; $ 8.470,00 ; $ 8.910,00 ; $ 10.000,00 ;;; $ 6.236,57 ; $ 1.559,14 ; $ 7.795,71 ;;;0808;TORTAS;FRUTILLA;;;;
0809;TORTAS;TOFFY; $ 17.700,00 ; $ 14.300,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 12.870,00 ; $ 8.950,00 ; $ -   ; $ 10.010,00 ; $ 8.910,00 ; $ 8.850,00 ;;; $ 5.113,35 ; $ 1.278,34 ; $ 6.391,68 ;;;0809;TORTAS;TOFFY;;;;
0810;TORTAS;COPITO; $ 17.700,00 ; $ 14.300,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 12.870,00 ; $ 8.950,00 ; $ -   ; $ 10.010,00 ; $ 8.910,00 ; $ 8.850,00 ;;; $ 4.681,13 ; $ 1.170,28 ; $ 5.851,41 ;;;0810;TORTAS;COPITO;;;;
0811;TORTAS;CABSHA; $ 17.700,00 ; $ 14.300,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 12.870,00 ; $ 8.950,00 ; $ -   ; $ 10.010,00 ; $ 8.910,00 ; $ 8.850,00 ;;; $ 4.255,48 ; $ 1.063,87 ; $ 5.319,35 ;;;0811;TORTAS;CABSHA;;;;
0812;TORTAS;MANZANA; $ 20.000,00 ; $ 15.840,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 14.256,00 ; $ 13.190,00 ; $ -   ; $ 10.450,00 ; $ 13.090,00 ; $ 10.000,00 ;;; $ 2.840,10 ; $ 710,03 ; $ 3.550,13 ;;;0812;TORTAS;MANZANA;;;;
0813;TORTAS;LEMON PIE; $ 20.600,00 ; $ 11.110,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 9.999,00 ; $ 12.220,00 ; $ -   ; $ 11.660,00 ; $ 12.320,00 ; $ 10.300,00 ;;; $ 3.157,99 ; $ 789,50 ; $ 3.947,49 ;;;0813;TORTAS;LEMON PIE;;;;
0814;TORTAS;CHEESE CAKE CLASICO; $ 24.000,00 ; $ 20.790,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 18.711,00 ; $ 15.850,00 ; $ -   ; $ 12.540,00 ; $ 15.840,00 ; $ 12.000,00 ;;; $ 6.423,73 ; $ 1.605,93 ; $ 8.029,67 ;;;0814;TORTAS;CHEESE CAKE CLASICO;;;;
0815;TORTAS;NUTELLA; $ 18.000,00 ; $ 14.300,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 12.870,00 ; $ 10.530,00 ; $ -   ; $ 10.010,00 ; $ 10.560,00 ; $ 9.000,00 ;;; $ 4.143,98 ; $ 1.035,99 ; $ 5.179,97 ;;;0815;TORTAS;NUTELLA;;;;
0816;TORTAS;TIRAMISU; $ 24.000,00 ; $ 17.930,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 16.137,00 ; $ 15.850,00 ; $ -   ; $ 11.660,00 ; $ 15.840,00 ; $ 12.000,00 ;;; $ 5.941,71 ; $ 1.485,43 ; $ 7.427,14 ;;;0816;TORTAS;TIRAMISU;;;;
0817;TORTAS;MIL HOJAS; $ 19.500,00 ; $ 15.840,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 14.256,00 ; $ 11.010,00 ; $ -   ; $ 8.580,00 ; $ 11.000,00 ; $ 9.750,00 ;;; $ 4.046,58 ; $ 1.011,65 ; $ 5.058,23 ;;;0817;TORTAS;MIL HOJAS;;;;
